,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,current_fungi_name,common_name,foray_date,foray_location,month,year,day,genus,species,edibility,foray_zip_code
130,130,130,130,130,Polyporus arcularius,,2003-05-03,Washington State Park,5,2003,3,Polyporus,arcularius,2,63020
131,131,131,131,131,Polyporus squamosus,,2003-05-03,Washington State Park,5,2003,3,Polyporus,squamosus,3,63020
132,132,132,132,132,Panaeolina foenisecii,,2003-05-03,Washington State Park,5,2003,3,Panaeolina,foenisecii,2,63020
133,133,133,133,133,Schizophyllum commune,Common Split Gill ,2003-05-03,Washington State Park,5,2003,3,Schizophyllum,commune,0,63020
134,134,134,134,134,Scutellinia scutellata,Common eyelash ,2003-05-03,Washington State Park,5,2003,3,Scutellinia,scutellata,2,63020
135,135,135,135,135,Spongipellis pachyodon,,2003-05-03,Washington State Park,5,2003,3,Spongipellis,pachyodon,2,63020
136,136,136,136,136,Stereum ostrea,False turkeytail ,2003-05-03,Washington State Park,5,2003,3,Stereum,ostrea,2,63020
137,137,137,137,137,Kretzschmaria deusta,Brittle cinder ,2003-05-03,Washington State Park,5,2003,3,Kretzschmaria,deusta,0,63020
138,138,138,138,138,Stereum ostrea,False turkeytail ,2003-05-17,Rockwood Reservation,5,2003,17,Stereum,ostrea,2,63038
139,139,139,139,139,Pluteus cervinus,Deer shield ,2003-05-17,Rockwood Reservation,5,2003,17,Pluteus,cervinus,0,63038
140,140,140,140,140,Mycena leaiana,,2003-05-17,Rockwood Reservation,5,2003,17,Mycena,leaiana,0,63038
141,141,141,141,141,Russula atropurpurea,Purple brittlegill ,2003-05-17,Rockwood Reservation,5,2003,17,Russula,atropurpurea,3,63038
142,142,142,142,142,Hymenopellis radicata,,2003-05-17,Rockwood Reservation,5,2003,17,Hymenopellis,radicata,3,63038
143,143,143,143,143,Corallium formosum,Salmon coral ,2003-05-17,Rockwood Reservation,5,2003,17,Corallium,formosum,1,63038
144,144,144,144,144,Schizophyllum commune,Common Split Gill ,2003-05-17,Rockwood Reservation,5,2003,17,Schizophyllum,commune,0,63038
145,145,145,145,145,Coprinus quadrifidus,,2003-05-17,Rockwood Reservation,5,2003,17,Coprinus,quadrifidus,2,63038
146,146,146,146,146,Bisporella citrina,,2004-09-18,Mingo National Wildlife Refuge,9,2004,18,Bisporella,citrina,2,63960
147,147,147,147,147,Amanita vaginata,,2004-09-17,Blue Pond Natural Area,9,2004,17,Amanita,vaginata,3,63781
148,148,148,148,148,Hohenbuehelia angustatus,,2004-09-17,Blue Pond Natural Area,9,2004,17,Hohenbuehelia,angustatus,0,63781
149,149,149,149,149,Mycena luteopallens,,2004-09-17,Blue Pond Natural Area,9,2004,17,Mycena,luteopallens,0,63781
150,150,150,150,150,Chrysomphalina strombodes,,2004-09-18,Mingo National Wildlife Refuge,9,2004,18,Chrysomphalina,strombodes,0,63960
151,151,151,151,151,Clitopilus abortivus,Aborted entoloma ,2004-09-18,Mingo National Wildlife Refuge,9,2004,18,Clitopilus,abortivus,0,63960
152,152,152,152,152,Arcyria cinerea,,2004-09-18,Mingo National Wildlife Refuge,9,2004,18,Arcyria,cinerea,0,63960
153,153,153,153,153,Metatrichia vesparium,,2004-09-18,Mingo National Wildlife Refuge,9,2004,18,Metatrichia,vesparium,0,63960
154,154,154,154,154,Hemitrichia clavata,,2004-09-18,Mingo National Wildlife Refuge,9,2004,18,Hemitrichia,clavata,2,63960
155,155,155,155,155,Leocarpus fragilis,,2004-09-18,Mingo National Wildlife Refuge,9,2004,18,Leocarpus,fragilis,2,63960
156,156,156,156,156,Stemonitis axifera,,2004-09-18,Mingo National Wildlife Refuge,9,2004,18,Stemonitis,axifera,0,63960
157,157,157,157,157,Auricularia auricula-judae,Jelly ear,2004-09-18,Mingo National Wildlife Refuge,9,2004,18,Auricularia,auricula-judae,4,63960
158,158,158,158,158,Calocera cornea,Club-like tuning fork ,2004-09-18,Mingo National Wildlife Refuge,9,2004,18,Calocera,cornea,2,63960
159,159,159,159,159,Ductifera pululahuana,,2004-09-17,Amidon Memorial Conservation Area,9,2004,17,Ductifera,pululahuana,2,
160,160,160,160,160,Scleroderma areolatum,Leopard earthball ,2004-09-18,Mingo National Wildlife Refuge,9,2004,18,Scleroderma,areolatum,1,63960
161,161,161,161,161,Lycoperdon marginatum,Peeling Puffball ,2004-09-17,Amidon Memorial Conservation Area,9,2004,17,Lycoperdon,marginatum,0,
162,162,162,162,162,Cyathus striatus,,2004-09-17,Amidon Memorial Conservation Area,9,2004,17,Cyathus,striatus,2,
163,163,163,163,163,Nidularia pulvinata,,2004-09-18,Mingo National Wildlife Refuge,9,2004,18,Nidularia,pulvinata,2,63960
164,164,164,164,164,Laetiporus sulphureus,Chicken of the woods ,2004-09-18,Mingo National Wildlife Refuge,9,2004,18,Laetiporus,sulphureus,4,63960
165,165,165,165,165,Terana caerulea,,2004-09-18,Mingo National Wildlife Refuge,9,2004,18,Terana,caerulea,0,63960
166,166,166,166,166,Stereum ostrea,False turkeytail ,2004-09-17,Blue Pond Natural Area,9,2004,17,Stereum,ostrea,2,63781
167,167,167,167,167,Poronidulus conchifer,Little nest polypore ,2004-09-17,Amidon Memorial Conservation Area,9,2004,17,Poronidulus,conchifer,2,
168,168,168,168,168,Poronidulus conchifer,Little nest polypore ,2004-09-18,Mingo National Wildlife Refuge,9,2004,18,Poronidulus,conchifer,2,63960
169,169,169,169,169,Lentinus tigrinus,Tiger sawgill ,2004-09-18,Mingo National Wildlife Refuge,9,2004,18,Lentinus,tigrinus,3,63960
170,170,170,170,170,Trichaptum biforme,Violet Toothed Polypore ,2004-09-18,Mingo National Wildlife Refuge,9,2004,18,Trichaptum,biforme,2,63960
171,171,171,171,171,Trametes versicolor,Turkeytail ,2004-09-18,Mingo National Wildlife Refuge,9,2004,18,Trametes,versicolor,4,63960
172,172,172,172,172,Byssomerulius incarnatus,,2004-09-18,Mingo National Wildlife Refuge,9,2004,18,Byssomerulius,incarnatus,2,63960
173,173,173,173,173,Hydnoporia olivacea,,2004-09-18,Mingo National Wildlife Refuge,9,2004,18,Hydnoporia,olivacea,0,63960
174,174,174,174,174,Daedaleopsis confragosa var. confragosa,Blushing bracket ,2004-09-18,Mingo National Wildlife Refuge,9,2004,18,Daedaleopsis,confragosa,2,63960
175,175,175,175,175,Saproamanita thiersii,Thiers' Lepidella,1996-09-21,Mingo National Wildlife Refuge,9,1996,21,Saproamanita,thiersii,0,63960
176,176,176,176,176,Amanita virosa,European Destroying Angel,1996-09-21,Mingo National Wildlife Refuge,9,1996,21,Amanita,virosa,1,63960
177,177,177,177,177,Agaricus placomyces,Flat-cap Agaric,1996-09-21,Mingo National Wildlife Refuge,9,1996,21,Agaricus,placomyces,1,63960
178,178,178,178,178,Amanita gemmata,Jewelled Amanita,1996-09-21,Mingo National Wildlife Refuge,9,1996,21,Amanita,gemmata,1,63960
179,179,179,179,179,Auricularia auricula-judae,Jelly ear,1996-09-21,Mingo National Wildlife Refuge,9,1996,21,Auricularia,auricula-judae,4,63960
180,180,180,180,180,Auricularia auricula-judae,Jelly ear,1996-09-21,Mingo National Wildlife Refuge,9,1996,21,Auricularia,auricula-judae,4,63960
181,181,181,181,181,Agaricus cristata,,1996-09-21,Mingo National Wildlife Refuge,9,1996,21,Agaricus,cristata,0,63960
182,182,182,182,182,Boletellus merulioides,,1996-09-21,Mingo National Wildlife Refuge,9,1996,21,Boletellus,merulioides,3,63960
183,183,183,183,183,Boletus subvelutipes,,1996-09-21,Mingo National Wildlife Refuge,9,1996,21,Boletus,subvelutipes,1,63960
184,184,184,184,184,Boletus bicolor,,1996-09-21,Mingo National Wildlife Refuge,9,1996,21,Boletus,bicolor,3,63960
185,185,185,185,185,Bisporella citrina,,1996-09-21,Mingo National Wildlife Refuge,9,1996,21,Bisporella,citrina,2,63960
186,186,186,186,186,Bisporella citrina,,1996-09-21,Mingo National Wildlife Refuge,9,1996,21,Bisporella,citrina,2,63960
187,187,187,187,187,Cantharellus cibarius,Chanterelle ,1996-09-21,Mingo National Wildlife Refuge,9,1996,21,Cantharellus,cibarius,3,63960
188,188,188,188,188,Artomyces pyxidatus,Crown-tipped Coral ,1996-09-21,Mingo National Wildlife Refuge,9,1996,21,Artomyces,pyxidatus,3,63960
189,189,189,189,189,Artomyces pyxidatus,Crown-tipped Coral ,1996-09-21,Mingo National Wildlife Refuge,9,1996,21,Artomyces,pyxidatus,3,63960
190,190,190,190,190,Artomyces pyxidatus,Crown-tipped Coral ,1996-09-21,Mingo National Wildlife Refuge,9,1996,21,Artomyces,pyxidatus,3,63960
191,191,191,191,191,Artomyces pyxidatus,Crown-tipped Coral ,1996-09-21,Mingo National Wildlife Refuge,9,1996,21,Artomyces,pyxidatus,3,63960
192,192,192,192,192,Artomyces pyxidatus,Crown-tipped Coral ,1996-09-21,Mingo National Wildlife Refuge,9,1996,21,Artomyces,pyxidatus,3,63960
193,193,193,193,193,Calvatia craniiformis,Brain puffball ,1996-09-21,Mingo National Wildlife Refuge,9,1996,21,Calvatia,craniiformis,3,63960
194,194,194,194,194,Cyathus stercoreus,Dung bird's nest ,1996-09-21,Mingo National Wildlife Refuge,9,1996,21,Cyathus,stercoreus,2,63960
195,195,195,195,195,Cyathus striatus,,1996-09-21,Mingo National Wildlife Refuge,9,1996,21,Cyathus,striatus,2,63960
196,196,196,196,196,Cantharellus cinnabarinus,Cinnabar chanterelle ,2004-06-27,Tyson Research Center,6,2004,27,Cantharellus,cinnabarinus,3,63025
