,current_fungi_name,common_name,foray_date,foray_location,month,year,day,genus,species
5486,Mycena galericulata,Common bonnet ,2011-06-25,Rock Bridge State Park,6,2011,25,Mycena,galericulata
5487,Mycena inclinata,Clustered bonnet ,2011-06-25,Rock Bridge State Park,6,2011,25,Mycena,inclinata
5488,Phellinus gilvus,Mustard Yellow Polypore ,2011-06-25,Rock Bridge State Park,6,2011,25,Phellinus,gilvus
5489,Polyporus badius,,2011-06-25,Rock Bridge State Park,6,2011,25,Polyporus,badius
5490,Psathyrella candolleana,Pale brittlestem ,2011-06-25,Rock Bridge State Park,6,2011,25,Psathyrella,candolleana
5491,Psathyrella delineata,,2011-06-25,Rock Bridge State Park,6,2011,25,Psathyrella,delineata
5492,Russula cyanoxantha var. variata,,2011-06-25,Rock Bridge State Park,6,2011,25,Russula,cyanoxantha
5493,Sarcoscypha occidentalis,Stalked Scarlet Cup ,2011-06-25,Rock Bridge State Park,6,2011,25,Sarcoscypha,occidentalis
5494,Schizophyllum commune,Common Split Gill ,2011-06-25,Rock Bridge State Park,6,2011,25,Schizophyllum,commune
5495,Stereum complicatum,Crowded parchment ,2011-06-25,Rock Bridge State Park,6,2011,25,Stereum,complicatum
5496,Stereum ostrea,False turkeytail ,2011-06-25,Rock Bridge State Park,6,2011,25,Stereum,ostrea
5497,Amanita flavoconia,Yellow Patches,2011-06-24,Rock Bridge State Park,6,2011,24,Amanita,flavoconia
5498,Amanita fulva,Tawny grisette,2011-06-24,Rock Bridge State Park,6,2011,24,Amanita,fulva
5499,Clitocybe dealbata,,2011-06-24,Rock Bridge State Park,6,2011,24,Clitocybe,dealbata
5500,Agaricus flavidellus,,2011-06-24,Rock Bridge State Park,6,2011,24,Agaricus,flavidellus
5501,Laetiporus sulphureus,Chicken of the woods ,2011-06-24,Rock Bridge State Park,6,2011,24,Laetiporus,sulphureus
5502,Ramaria aurea,,2011-06-24,Rock Bridge State Park,6,2011,24,Ramaria,aurea
5503,Xylobolus frustulatus,Ceramic Parchment ,2011-06-24,Rock Bridge State Park,6,2011,24,Xylobolus,frustulatus
